year,ward,cost,category,program,description,FNODE_ID,TNODE_ID,OBJECTID,TRANS_ID,PRE_DIR,STREET_NAM,STREET_TYP,F_CROSS,T_CROSS,MIN_ADDR,MAX_ADDR
2012,4,"$19,903.00",Miscellaneous,Miscellaneous Other,ON 44 FROM S GREENWOOD AV (1100 E) TO S LAKE PARK AV (1175 E),24089,28339,27399,124874,S,GREENWOOD,AVE,4217 S LAKE PARK AVE ,1100 E 43RD ST ,4211,4239
2012,4,"$16,421.00",Streets & Transportation,Sidewalk Menu,ON E 47TH ST FROM S LANGLEY AV (700 E) TO S EVANS AV (732 E),6339,19613,49703,125716,E,47TH,ST,4700 S LANGLEY AVE ,4700 S EVANS AVE ,700,725
2012,4,"$22,812.00",Streets & Transportation,Sidewalk Menu,ON E OAKWOOD BLVD FROM S VINCENNES AV (544 E) TO S,3751,3750,17382,131569,E,OAKWOOD,BLVD,499 E   ,3947 S VINCENNES AVE ,500,531
2012,4,"$22,812.00",Streets & Transportation,Sidewalk Menu,ON E OAKWOOD BLVD FROM S VINCENNES AV (544 E) TO S,3750,12026,44257,131570,E,OAKWOOD,BLVD,3947 S VINCENNES AVE ,601 E   ,536,565
2012,4,"$28,386.00",Streets & Transportation,Sidewalk Menu,ON E 48TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E),32541,10482,14398,125610,E,48TH,ST,4800 S GREENWOOD AVE ,4800 S WOODLAWN AVE ,1100,1159
2012,4,"$22,148.00",Streets & Transportation,Street Resurfacing Menu,ON E 54TH ST FROM S WOODLAWN AV (1200 E) TO S KIMBARK AV (1242 E),1303,9973,27828,126007,E,54TH,ST,5400 S WOODLAWN AVE ,5400 S KIMBARK AVE ,1200,1237
2012,4,"$49,392.00",Streets & Transportation,Street Resurfacing Menu,ON E 42ND ST FROM S VINCENNES AV (515 E) TO S ST LAWRENCE AV (600 E),34416,19583,10999,124942,E,42ND,ST,4200 S VINCENNES AVE ,4200 S ST LAWRENCE AVE ,500,549
2012,4,"$52,350.00",Streets & Transportation,Street Resurfacing Menu,ON E 37TH ST FROM S ELLIS AV (792 E) TO S LAKE PARK AV (815 E),27594,18954,13923,119474,E,37TH,ST,3700 S ELLIS AVE ,3700 S LAKE PARK AVE ,738,769
2012,4,"$58,378.00",Streets & Transportation,Street Resurfacing Menu,ON E 50TH ST FROM S ELLIS AV (1001 E) TO S GREENWOOD AV (1100 E),32269,25969,3908,125606,E,50TH,ST,5000 S ELLIS AVE ,5000 S GREENWOOD AVE ,1000,1059
2012,4,$800.00,Beautification,Street Light Pole Painting,ON BERKELEY FROM E 41 PL (4132 S) TO E 42 PL (4228 S),,,,,,,,,,,
2012,4,"$3,850.00",Lighting,Street Light Upgrade,ON HARPER FROM E 53 ST (5242 S) TO Dead End (5430 S),,,,,,,,,,,
2012,4,"$1,400.00",Lighting,Street Light Upgrade,ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),,,,,,,,,,,
2012,4,"$1,400.00",Lighting,Street Light Upgrade,ON CHAMPLAIN FROM E 43 ST (4300 S) TO E 44 ST (4400 S),,,,,,,,,,,
2012,5,"$144,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON ELLIS FROM E 71 ST (7100 S) TO E 73 ST (7300 S),,,,,,,,,,,
2012,5,"$288,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON DORCHESTER FROM E 67 ST (6700 S) TO E 71 ST (7100 S),,,,,,,,,,,
2012,5,"$144,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON EAST END FROM E 69 ST (6900 S) TO E 71 ST (7100 S),,,,,,,,,,,
