FNODE_ID,F_CROSS,MAX_ADDR,MIN_ADDR,OBJECTID,PRE_DIR,STREET_NAM,STREET_TYP,TNODE_ID,TRANS_ID,T_CROSS,category,cost,description,program,ward,year
17818,100 W HARRISON ST ,659,600,35209,S,CLARK,ST,21970,118999,701 S   ,Streets & Transportation,11500.0,S CLARK ST & W HARRISON ST,Left-Turn Arrow Menu,2,2012
13321,100 W CONGRESS PKWY ,559,500,45157,S,CLARK,ST,17818,118976,100 W HARRISON ST ,Streets & Transportation,11500.0,S CLARK ST & W HARRISON ST,Left-Turn Arrow Menu,2,2012
5795,1899 W GRENSHAW ST ,1155,1126,26724,S,WOLCOTT,AVE,18407,119181,1900 W ROOSEVELT RD ,Beautification,1200.0,ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W ROOSEVELT RD (1200 S),Street Light Pole Painting,2,2012
29242,1885 W OGDEN AVE ,1859,1854,6667,W,CONGRESS,PKWY,34705,118711,500 S WOLCOTT AVE ,Beautification,6000.0,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S,Street Light Pole Painting,2,2012
1816,500 S WOOD ST ,1849,1800,19641,W,CONGRESS,PKWY,29242,116826,1885 W OGDEN AVE ,Beautification,6000.0,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S,Street Light Pole Painting,2,2012
21355,500 S MORGAN ST ,1065,1000,2528,W,CONGRESS,PKWY,35930,116783,599 S ABERDEEN ST ,Beautification,5700.0,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),Street Light Pole Painting,2,2012
5795,1899 W GRENSHAW ST ,1155,1126,26724,S,WOLCOTT,AVE,18407,119181,1900 W ROOSEVELT RD ,Lighting,2400.0,ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W ROOSEVELT RD (1200 S),Street Light Upgrade,2,2012
21355,500 S MORGAN ST ,1065,1000,2528,W,CONGRESS,PKWY,35930,116783,599 S ABERDEEN ST ,Lighting,7600.0,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),Street Light Upgrade,2,2012
15780,2100 W MADISON ST ,39,1,36921,S,HOYNE,AVE,28601,118206,2100 W MONROE ST ,Lighting,1400.0,ON HOYNE FROM W MADISON ST (0 N) TO W MONROE ST (100 S),Street Light Upgrade,2,2012
18638,1199 S HERMITAGE AVE ,1759,1730,15097,W,ROOSEVELT,RD,24103,162200,1200 S WOOD ST ,Streets & Transportation,3500.0,W ROOSEVELT RD & S WOOD ST,Traffic Equipment,2,2012
