year,ward,cost,category,program,description
2012,2,"$3,300.00",Beautification,Street Light Pole Painting,ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST (800 S)
2012,2,"$1,200.00",Beautification,Street Light Pole Painting,ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W ROOSEVELT RD (1200 S)
2012,2,"$6,000.00",Beautification,Street Light Pole Painting,ON LAKE FROM N ALBANY AV (3100 W) TO N SACRAMENTO BV (3000 W)
2012,2,"$7,500.00",Beautification,Street Light Pole Painting,ON TAYLOR FROM S LOOMIS ST (1400 W) TO S RACINE AV (1200 W)
2012,2,"$6,000.00",Beautification,Street Light Pole Painting,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S
2012,2,"$24,000.00",Beautification,Street Light Pole Painting,ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S DAMEN AV (2000 W)
2012,2,"$5,700.00",Beautification,Street Light Pole Painting,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W)
2012,2,"$1,500.00",Beautification,Street Light Pole Painting,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E)
2012,2,"$2,400.00",Beautification,Street Light Pole Painting,ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N WESTERN AV (2400 W)
2012,2,"$1,200.00",Beautification,Street Light Pole Painting,ON S WOOD ST FROM W ROOSEVELT RD (1200 S) TO W TAYLOR ST (1000 S)
2012,2,"$3,200.00",Lighting,Street Light Upgrade,ON MONROE FROM S MORGAN ST (1000 W) TO S PEORIA ST (900 W)
2012,2,"$4,000.00",Lighting,Street Light Upgrade,ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON BV (300 S)
2012,2,"$2,400.00",Lighting,Street Light Upgrade,ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W ROOSEVELT RD (1200 S)
2012,2,"$1,750.00",Lighting,Street Light Upgrade,ON ADAMS FROM S LEAVITT ST (2200 W) TO S SEELEY AV (2032 W)
2012,2,"$6,000.00",Lighting,Street Light Upgrade,ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S ASHLAND AV (1600 W)
2012,2,$350.00,Lighting,Street Light Upgrade,317 S CAMPBELL AVE
2012,2,$350.00,Lighting,Street Light Upgrade,201 S ASHLAND AVE
2012,2,$400.00,Lighting,Street Light Upgrade,ON 11 FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E)
2012,2,"$1,200.00",Lighting,Street Light Upgrade,ON POLK FROM S STATE ST (0 E) TO S FINANCIAL PL (146 W)
2012,2,"$2,400.00",Lighting,Street Light Upgrade,ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W HARRISON ST (600 S)
2012,2,"$4,400.00",Lighting,Street Light Upgrade,ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST (800 S)
2012,2,$350.00,Lighting,Street Light Upgrade,157 S ASHLAND AVE
2012,2,"$18,800.00",Lighting,Street Light Upgrade,ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST (1500 S)
2012,2,"$14,000.00",Lighting,Street Light Upgrade,ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD (1200 S)
2012,2,"$3,200.00",Lighting,Street Light Upgrade,ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST (832 W)
2012,2,"$3,200.00",Lighting,Street Light Upgrade,ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W PERSHING RD (3900 S)
2012,2,$350.00,Lighting,Street Light Upgrade,3550 S GILES AVE
2012,2,"$1,600.00",Lighting,Street Light Upgrade,ON BALBO FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E)
2012,2,"$1,600.00",Lighting,Street Light Upgrade,ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST (400 S)
2012,2,"$7,600.00",Lighting,Street Light Upgrade,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W)
2012,2,"$1,750.00",Lighting,Street Light Upgrade,ON VAN BUREN FROM S LEAVITT ST (2200 W) TO S SEELEY AV (2032 W)
2012,2,$400.00,Lighting,Street Light Upgrade,ON HARRISON FROM S STATE ST (0 E) TO S WABASH AV (44 E)
2012,2,"$2,000.00",Lighting,Street Light Upgrade,ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N WESTERN AV (2400 W)
2012,2,"$18,000.00",Lighting,Street Light Upgrade,ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT RD (1200 S)
2012,2,"$1,200.00",Lighting,Street Light Upgrade,ON S WOOD ST FROM W TAYLOR ST (1000 S) TO W ROOSEVELT RD (1200 S)
2012,2,"$4,800.00",Lighting,Street Light Upgrade,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E)
2012,2,"$1,400.00",Lighting,Street Light Upgrade,ON HOYNE FROM W MADISON ST (0 N) TO W MONROE ST (100 S)
2012,2,"$6,400.00",Lighting,Street Light Upgrade,ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV (2000 W)
2012,2,"$21,000.00",Lighting,Street Light Upgrade,1319 S STATE ST
2012,2,$350.00,Lighting,Street Light Upgrade,547 S CLARK ST
2012,2,"$8,000.00",Lighting,Street Light Upgrade,ON LAKE FROM N MOZART ST (2832 W) TO N SACRAMENTO BV (3000 W)
2012,2,"$8,000.00",Lighting,Street Light Upgrade,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S CLAREMONT AV (2332 W)
2012,2,"$12,000.00",Lighting,Street Light Upgrade,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W)
2012,2,"$2,000.00",Lighting,Street Light Upgrade,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E)
2012,2,"$1,400.00",Lighting,Street Light Upgrade,ON SEELEY FROM W JACKSON BV (300 S) TO W VAN BUREN ST (400 S)
2012,2,"$5,250.00",Lighting,Street Light Upgrade,ON MONROE FROM S RACINE AV (1200 W) TO S GREEN ST (832 W)
2012,2,"$5,600.00",Lighting,Street Light Upgrade,ON VAN BUREN FROM S GREEN ST (832 W) TO W TILDEN ST (1124 W)
2012,2,"$2,400.00",Streets & Transportation,Traffic Equipment,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W)
2012,2,$400.00,Streets & Transportation,Traffic Equipment,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E)
2012,2,"$2,750.00",Streets & Transportation,Traffic Equipment,ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST (1500 S)
2012,2,$200.00,Streets & Transportation,Traffic Equipment,ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST (800 S)
2012,2,"$25,650.00",Streets & Transportation,Traffic Equipment,ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT RD (1200 S)
2012,2,"$11,000.00",Streets & Transportation,Traffic Equipment,ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S DAMEN AV (2000 W)
2012,2,"$3,500.00",Streets & Transportation,Traffic Equipment,W ROOSEVELT RD & S WOOD ST
2012,2,"$8,000.00",Streets & Transportation,Traffic Equipment,ON STATE FROM W CONGRESS PW (500 S) TO W HARRISON ST (600 S)
2012,2,"$19,500.00",Streets & Transportation,Traffic Equipment,ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E HARRISON ST (600 S)
2012,2,"$5,450.00",Streets & Transportation,Traffic Equipment,ON ASHLAND FROM W MADISON ST (0 N) TO W ROOSEVELT RD (1200 S)
2012,2,"$3,500.00",Streets & Transportation,Traffic Equipment,W ROOSEVELT RD & S PAULINA ST
2012,2,"$3,500.00",Streets & Transportation,Traffic Equipment,W ROOSEVELT RD & S ASHLAND W AVE
2012,2,"$1,550.00",Streets & Transportation,Traffic Equipment,ON JEFFERSON FROM W MADISON ST (0 N) TO W ADAMS ST (200 S)
2012,3,"$8,666.00",Streets & Transportation,Alley Apron Menu,ON S MICHIGAN AVE FROM 4944 S TO E 49 ST (4900 S)
2012,3,"$216,149.00",Streets & Transportation,Concrete Alley Menu,1503 S State
2012,3,"$51,363.00",Streets & Transportation,Curb & Gutter Menu,ON E 37TH PL FROM S STATE ST (0 E) TO S WABASH AV (44 E)
2012,3,"$23,977.00",Streets & Transportation,Curb & Gutter Menu,ON S PRINCETON AVE FROM W 48TH PL (4850 S) TO W 50TH ST (5000 S)
2012,3,$550.00,Streets & Transportation,In-Road 'State Law Stop For Pedestrians' Signs Menu,S STATE ST & W 23RD ST
2012,3,"$14,166.00","Plants, Gardens, & Sustainability",Miscellaneous Other,"4501-33 & 4524-50 S McDowell, & 1400 W 46th St Tree planting"
2012,3,$413.00,Miscellaneous,Miscellaneous Other,4434 S DR MARTIN LUTHER KING JR DR
2012,3,"$3,370.00",Beautification,Miscellaneous Other,4700 S LASALLE ST Decorative Plaza Planter Fencing
2012,3,$680.00,Beautification,Miscellaneous Other,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets
2012,3,"$11,450.00",Beautification,Miscellaneous Other,8 decorative garbage cans decorative garbage cans
2012,3,$300.00,Streets & Transportation,Pavement Markings,W 46TH PL & S SHIELDS AVE
2012,3,"$11,175.00",Streets & Transportation,Sidewalk Menu,ON S CALUMET AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S)
2012,3,$643.00,Streets & Transportation,Sidewalk Menu,ON W SWANN ST FROM S PRINCETON AV (300 W) TO S SHIELDS AV (328 W)
2012,3,"$8,979.00",Streets & Transportation,Sidewalk Menu,ON DR MARTIN LUTHER KING JR DR FROM E 44 ST (4400 S) TO E 45 ST (4500 S)
2012,3,"$30,507.00",Streets & Transportation,Sidewalk Menu,ON E 50TH PL FROM S WASHINGTON PK (432 E) TO S VINCENNES AV (480 E)
2012,3,"$22,651.00",Streets & Transportation,Sidewalk Menu,ON S SHIELDS AVE FROM W SWANN ST (4642 S) TO W 47 ST (4700 S)
2012,3,"$94,958.00",Streets & Transportation,Street Resurfacing Menu,ON E 42ND ST FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E)
2012,3,"$6,790.00",Streets & Transportation,Street Resurfacing Menu,ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S)
2012,3,"$135,801.00",Streets & Transportation,Street Resurfacing Menu,ON S CALUMET AVE FROM E PERSHING RD (3900 S) TO E 41 ST (4100 S)
2012,3,"$176,667.00",Streets & Transportation,Street Resurfacing Menu,ON S PRINCETON AVE FROM W ROOT ST (4134 S) TO W 43 ST (4300 S)
2012,3,"$106,066.00",Streets & Transportation,Street Resurfacing Menu,ON S PRAIRIE AVE FROM E 33 BV (3300 S) TO E 35 ST (3500 S)
2012,3,"$188,861.00",Streets & Transportation,Street Resurfacing Menu,ON S PRAIRIE AVE FROM E 48 ST (4800 S) TO E 51 ST (5100 S)
2012,3,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON S CALUMET AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S)
2012,3,"$5,550.00",Streets & Transportation,Street Speed Hump Menu,ON S FEDERAL ST FROM W 13 ST (1299 S) TO W 14 ST (1400 S)
2012,3,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON S LAFLIN ST FROM W 46 ST (4600 S) TO W 47 ST (4700 S)
2012,3,"$1,200.00",Lighting,Floodlight Menu,ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV Adding Floodlight with Mast Arm (44 E)
2012,3,"$10,000.00",Lighting,Floodlight Menu,ON 43 FROM S CALUMET AV (320 E) TO S PRAIRIE AV (236 E) Install floodlights on El tracks & New Controller
2012,3,"$128,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON LAFAYETTE FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S)
2012,3,$350.00,Lighting,Street Light Upgrade,342 W 42ND PL
